"code","company_name"
"3382","セブン＆アイ・ホールディングス"
"8053","住友商事"
"3563","ＦＯＯＤ ＆ ＬＩＦＥ ＣＯＭＰＡＮＩＥＳ"
"3635","コーエーテクモホールディングス"
"2914","日本たばこ産業"
"9031","西日本鉄道"
"3186","ネクステージ"
"5471","大同特殊鋼"
"8601","大和証券グループ本社"
"9843","ニトリホールディングス"
"4686","ジャストシステム"
"1662","石油資源開発"
"8331","千葉銀行"
"4666","パーク２４"
"9507","四国電力"
"7550","ゼンショーホールディングス"
"3148","クリエイトＳＤホールディングス"
"9697","カプコン"
"8919","カチタス"
"2331","ＡＬＳＯＫ"
"9007","小田急電鉄"
"7994","オカムラ"
"8316","三井住友フィナンシャルグループ"
"5713","住友金属鉱山"
"3626","ＴＩＳＩ"
"7014","名村造船所"
"7012","川崎重工業"
"8001","伊藤忠商事"
"7013","ＩＨＩ"
"5101","横浜ゴム"
"8923","トーセイ"
"4042","東ソー"
"4204","積水化学工業"
"2317","システナ"
"8628","松井証券"
"5801","古河電気工業"
"2726","パルグループホールディングス"
"3099","三越伊勢丹ホールディングス"
"6367","ダイキン工業"
"9506","東北電力"
"7272","ヤマハ発動機"
"5401","日本製鉄"
"9744","メイテックグループホールディングス"
"5802","住友電気工業"
"6436","アマノ"
"4194","ビジョナル"
"4661","オリエンタルランド"
"5991","日本発條"
"4151","協和キリン"
"6871","日本マイクロニクス"
"8058","三菱商事"
"5021","コスモエネルギーホールディングス"
"6758","ソニーグループ"
"1885","東亜建設工業"
"8253","クレディセゾン"
"9006","京浜急行電鉄"
"4536","参天製薬"
"7564","ワークマン"
"7735","ＳＣＲＥＥＮホールディングス"
"8035","東京エレクトロン"
"6361","荏原製作所"
"8630","ＳＯＭＰＯホールディングス"
"8750","第一ライフグループ"
"9735","セコム"
"4202","ダイセル"
"6728","アルバック"
"6762","ＴＤＫ"
"6981","村田製作所"
"7261","マツダ"
"7164","全国保証"
"6845","アズビル"
"8113","ユニ・チャーム"
"2897","日清食品ホールディングス"
"6507","シンフォニアテクノロジー"
"6544","ジャパンエレベーターサービスホールディングス"
"3549","クスリのアオキホールディングス"
"5333","ＮＧＫ"
"1969","高砂熱学工業"
"5838","楽天銀行"
"6460","セガサミーホールディングス"
"2768","双日"
"4523","エーザイ"
"1808","長谷工コーポレーション"
"5332","ＴＯＴＯ"
"5334","日本特殊陶業"
"6113","アマダ"
"7186","横浜フィナンシャルグループ"
"4452","花王"
"2327","日鉄ソリューションズ"
"4516","日本新薬"
"5947","リンナイ"
"9759","ＮＳＤ"
"4612","日本ペイントホールディングス"
"3659","ネクソン"
"8795","Ｔ＆Ｄホールディングス"
"4307","野村総合研究所"
"5019","出光興産"
"2379","ディップ"
"6674","ジーエス・ユアサ コーポレーション"
"4816","東映アニメーション"
"8604","野村ホールディングス"
"4980","デクセリアルズ"
"6417","ＳＡＮＫＹＯ"
"6586","マキタ"
"2875","東洋水産"
"8174","日本瓦斯"
"4733","オービックビジネスコンサルタント"
"7259","アイシン"
"7751","キヤノン"
"7532","パン・パシフィック・インターナショナルホールディングス"
"7173","東京きらぼしフィナンシャルグループ"
"9502","中部電力"
"4901","富士フイルムホールディングス"
"1928","積水ハウス"
"1942","関電工"
"3088","マツキヨココカラ＆カンパニー"
"9602","東宝"
"8306","三菱ＵＦＪフィナンシャル・グループ"
"6326","クボタ"
"9001","東武鉄道"
"6506","安川電機"
"6954","ファナック"
"1893","五洋建設"
"9532","大阪瓦斯"
"1961","三機工業"
"6323","ローツェ"
"8572","アコム"
"3086","Ｊ．フロント リテイリング"
"7203","トヨタ自動車"
"6368","オルガノ"
"6101","ツガミ"
"4403","日油"
"2702","日本マクドナルドホールディングス"
"9682","ＤＴＳ"
"3092","ＺＯＺＯ"
"7906","ヨネックス"
"6479","ミネベアミツミ"
"3349","コスモス薬品"
"4186","東京応化工業"
"5105","ＴＯＹＯ ＴＩＲＥ"
"9065","山九"
"1951","エクシオグループ"
"3291","飯田グループホールディングス"
"6146","ディスコ"
"6703","沖電気工業"
"9009","京成電鉄"
"3038","神戸物産"
"6383","ダイフク"
"5406","神戸製鋼所"
"5929","三和ホールディングス"
"6902","デンソー"
"9989","サンドラッグ"
"2264","森永乳業"
"6632","ＪＶＣケンウッド"
"5344","ＭＡＲＵＷＡ"
"9983","ファーストリテイリング"
"8424","芙蓉総合リース"
"8439","東京センチュリー"
"8593","三菱ＨＣキャピタル"
"3110","日東紡績"
"4966","上村工業"
"9503","関西電力"
"7011","三菱重工業"
"6269","三井海洋開発"
"4626","太陽ホールディングス"
"2587","サントリービバレッジ＆フード"
"7649","スギホールディングス"
"8056","ＢＩＰＲＯＧＹ"
"8425","みずほリース"
"9505","北陸電力"
"2413","エムスリー"
"2201","森永製菓"
"7202","いすゞ自動車"
"5857","ＡＲＥホールディングス"
"3697","ＳＨＩＦＴ"
"9336","大栄環境"
"8227","しまむら"
"9021","西日本旅客鉄道"
"1605","ＩＮＰＥＸ"
"7148","ＦＰＧ"
"6920","レーザーテック"
"7270","ＳＵＢＡＲＵ"
"8802","三菱地所"
"8002","丸紅"
"1944","きんでん"
"3064","ＭｏｎｏｔａＲＯ"
"3003","ヒューリック"
"8111","ゴールドウイン"
"1803","清水建設"
"1812","鹿島建設"
"1959","クラフティア"
"5411","ＪＦＥホールディングス"
"3391","ツルハホールディングス"
"9022","東海旅客鉄道"
"1802","大林組"
"1414","ショーボンドホールディングス"
"9504","中国電力"
"9509","北海道電力"
"9418","Ｕ－ＮＥＸＴ ＨＯＬＤＩＮＧＳ"
"4507","塩野義製薬"
"8850","スターツコーポレーション"
"9045","京阪ホールディングス"
"5706","三井金属"
"8473","ＳＢＩホールディングス"
"3116","トヨタ紡織"
"6723","ルネサスエレクトロニクス"
"9435","光通信"
"7419","ノジマ"
"1925","大和ハウス工業"
"4519","中外製薬"
"1801","大成建設"
"7599","ＩＤＯＭ"
"6526","ソシオネクスト"
"4568","第一三共"
"9142","九州旅客鉄道"
"4751","サイバーエージェント"
"9008","京王電鉄"
"8031","三井物産"
"2811","カゴメ"
"6856","堀場製作所"
"3231","野村不動産ホールディングス"
"3289","東急不動産ホールディングス"
"8801","三井不動産"
"8848","レオパレス２１"
"9531","東京瓦斯"
"8766","東京海上ホールディングス"
"7003","三井Ｅ＆Ｓ"
"9005","東急"
"9003","相鉄ホールディングス"
"6254","野村マイクロ・サイエンス"
"4004","レゾナック・ホールディングス"
"8309","三井住友トラストグループ"
"1911","住友林業"
"8830","住友不動産"
"8804","東京建物"
"1878","大東建託"
"8252","丸井グループ"
"8934","サンフロンティア不動産"
"6787","メイコー"
"6590","芝浦メカトロニクス"
"2678","アスクル"
"3288","オープンハウスグループ"
"7211","三菱自動車工業"
"9024","西武ホールディングス"
"6141","ＤＭＧ森精機"
"4704","トレンドマイクロ"
"9984","ソフトバンクグループ"
"5741","ＵＡＣＪ"
"417A","ブルーゾーンホールディングス"
"547A","ムニノバホールディングス"
